88,16,1008,-2135611424,1
96,0,1016,-2135611384,1
144,-31,1008,-2135611344,1
104,-31,1024,-2135611304,1
72,-15,1000,-2135611264,1
120,-31,1064,-2135611224,1
176,24,976,-2135611184,1
104,-7,1032,-2135611144,1
48,8,1032,-2135611104,1
64,-31,1024,-2135611064,1
80,-39,1072,-2135611024,1
64,-23,1032,-2135610984,1
64,-55,1072,-2135610944,1
96,-55,1120,-2135610904,1
136,-15,992,-2135610864,1
152,24,840,-2135610824,1
144,16,952,-2135610784,1
96,-23,1016,-2135610744,1
152,-87,1024,-2135610704,1
24,200,752,-2135610664,1
1000,-87,944,-2135611113,1
976,-919,2240,-2135611073,1
2184,-1519,1736,-2135611033,1
-943,-487,1352,-2135610993,1
-231,-2207,2768,-2135610953,1
1088,-3039,1904,-2135610913,1
1360,-3519,2424,-2135610873,1
-255,-3479,3400,-2135610833,1
-2135,-2479,2280,-2135610793,1
-3103,-175,1392,-2135610753,1
-2703,1904,352,-2135610713,1
-2967,224,2112,-2135610673,1
-1487,-895,2200,-2135610633,1
-1479,-751,1296,-2135610593,1
-63,-543,1312,-2135610553,1
256,-631,1144,-2135610513,1
448,-279,984,-2135610473,1
176,-231,1176,-2135610433,1
40,-39,1000,-2135610393,1
24,-23,1064,-2135610353,1
152,-23,1160,-2135610313,1
120,8,1096,-2135610273,1
152,24,1216,-2135610233,1
152,8,1256,-2135610193,1
168,0,1200,-2135610153,1
176,16,1240,-2135610602,1
192,16,1208,-2135610562,1
216,16,1160,-2135610522,1
224,16,1128,-2135610482,1
240,48,1168,-2135610442,1
232,48,1152,-2135610402,1
256,88,1208,-2135610362,1
264,88,1216,-2135610322,1
304,72,1192,-2135610282,1
344,72,1160,-2135610242,1
384,64,1040,-2135610202,1
408,56,992,-2135610162,1
440,72,984,-2135610122,1
440,64,928,-2135610082,1
464,48,952,-2135610042,1
496,56,760,-2135610002,1
512,48,768,-2135609962,1
528,48,784,-2135609922,1
560,-7,760,-2135609882,1
616,24,736,-2135609842,1
648,56,584,-2135609802,1
680,48,576,-2135609762,1
664,72,536,-2135609722,1
696,64,416,-2135609682,1
712,72,432,-2135609642,1
744,56,360,-2135610091,1
744,104,352,-2135610051,1
760,136,400,-2135610011,1
792,176,320,-2135609971,1
832,224,240,-2135609931,1
840,216,240,-2135609891,1
824,240,248,-2135609851,1
840,208,176,-2135609811,1
880,184,256,-2135609771,1
912,208,176,-2135609731,1
912,200,176,-2135609691,1
920,152,112,-2135609651,1
936,112,64,-2135609611,1
920,72,-47,-2135609571,1
920,40,-87,-2135609531,1
904,128,-87,-2135609491,1
912,168,-71,-2135609451,1
896,176,0,-2135609411,1
904,160,0,-2135609371,1
912,144,0,-2135609331,1
896,200,8,-2135609291,1
896,184,-39,-2135609251,1
920,176,32,-2135609211,1
904,192,64,-2135609171,1
928,192,144,-2135609131,1
928,176,120,-2135609581,1
912,168,72,-2135609541,1
872,64,8,-2135609501,1
824,8,40,-2135609461,1
784,72,56,-2135609421,1
768,152,304,-2135609381,1
776,152,496,-2135609341,1
776,88,656,-2135609301,1
792,64,552,-2135609261,1
784,128,576,-2135609221,1
752,96,712,-2135609181,1
744,64,664,-2135609141,1
712,-31,656,-2135609101,1
672,0,664,-2135609061,1
664,112,720,-2135609021,1
616,64,760,-2135608981,1
576,0,736,-2135608941,1
528,48,856,-2135608901,1
528,128,816,-2135608861,1
480,88,848,-2135608821,1
400,-79,904,-2135608781,1
336,-63,984,-2135608741,1
368,104,856,-2135608701,1
352,120,864,-2135608661,1
248,-71,1144,-2135608621,1
64,40,952,-2135608559,1
104,72,968,-2135608519,1
168,112,1016,-2135608479,1
144,16,1048,-2135608439,1
72,48,1064,-2135608399,1
48,24,1200,-2135608359,1
136,0,1064,-2135608319,1
136,80,1064,-2135608279,1
112,24,1040,-2135608239,1
48,-95,1096,-2135608199,1
144,56,1048,-2135608159,1
136,104,928,-2135608119,1
104,88,984,-2135608079,1
112,88,1024,-2135608039,1
56,40,1016,-2135607999,1
56,32,1032,-2135607959,1
64,64,992,-2135607919,1
88,48,960,-2135607879,1
96,48,1072,-2135607839,1
40,32,1024,-2135607799,1
64,24,992,-2135607759,1
88,16,1088,-2135607719,1
104,24,1064,-2135607679,1
72,64,1024,-2135607639,1
48,40,992,-2135607599,1
128,16,1096,-2135608048,1
136,32,1048,-2135608008,1
96,-23,1040,-2135607968,1
40,-31,1096,-2135607928,1
88,-7,1008,-2135607888,1
160,-23,1056,-2135607848,1
104,-7,1024,-2135607808,1
56,-7,1040,-2135607768,1
