-1015,240,-111,-2106644478,1
-983,392,128,-2106644438,1
-959,336,-71,-2106644398,1
-975,280,-71,-2106644358,1
-983,240,-87,-2106644318,1
-1031,208,-87,-2106644278,1
-991,280,-23,-2106644238,1
-991,272,-31,-2106644198,1
-1391,216,-167,-2106644158,1
-1167,200,-71,-2106644118,1
-1095,248,-87,-2106644078,1
-1055,256,-87,-2106644038,1
-823,416,48,-2106643998,1
-231,120,128,-2106643958,1
80,-631,488,-2106643918,1
1232,240,-415,-2106643878,1
680,-1231,736,-2106643838,1
-143,1216,-967,-2106643798,1
-2111,56,544,-2106643758,1
-943,-1559,728,-2106643718,1
1544,-687,-407,-2106644168,1
1248,1424,-1095,-2106644128,1
-1231,2248,-615,-2106644088,1
-2655,968,520,-2106644048,1
-527,1496,-839,-2106644008,1
-1655,456,64,-2106643968,1
-1695,-127,176,-2106643928,1
-1391,392,-279,-2106643888,1
-1271,504,-191,-2106643848,1
-1183,192,16,-2106643808,1
-1207,264,-159,-2106643768,1
-1167,320,-135,-2106643728,1
-1127,272,-127,-2106643688,1
-1047,248,-183,-2106643648,1
-1023,240,-191,-2106643608,1
-1023,264,-103,-2106643568,1
-1007,312,-319,-2106643528,1
-1031,280,-351,-2106643488,1
-1047,256,-383,-2106643448,1
-1047,312,-375,-2106643408,1
-1071,368,-431,-2106643368,1
-1063,320,-551,-2106643328,1
-1079,320,-535,-2106643288,1
-1103,392,-575,-2106643248,1
-1111,384,-551,-2106643208,1
-1111,360,-639,-2106643657,1
-1151,368,-591,-2106643617,1
-1183,392,-567,-2106643577,1
-1215,392,-623,-2106643537,1
-1151,368,-655,-2106643497,1
-1175,416,-623,-2106643457,1
-1167,440,-663,-2106643417,1
-1183,400,-719,-2106643377,1
-1183,432,-687,-2106643337,1
-1159,488,-671,-2106643297,1
-1151,432,-695,-2106643257,1
-1135,360,-719,-2106643217,1
-1095,376,-751,-2106643177,1
-1063,360,-743,-2106643137,1
-1031,336,-711,-2106643097,1
-967,376,-671,-2106643057,1
-911,360,-711,-2106643017,1
-855,336,-695,-2106642977,1
-799,320,-647,-2106642937,1
-735,296,-607,-2106642897,1
-655,248,-663,-2106642857,1
-591,264,-607,-2106642817,1
-527,288,-607,-2106642777,1
-463,256,-631,-2106642737,1
-399,200,-663,-2106642697,1
-311,216,-663,-2106643146,1
-239,240,-679,-2106643106,1
-199,208,-695,-2106643066,1
-151,176,-655,-2106643026,1
-95,176,-607,-2106642986,1
-79,184,-567,-2106642946,1
-23,120,-527,-2106642906,1
48,128,-567,-2106642866,1
96,176,-495,-2106642826,1
128,176,-551,-2106642786,1
168,144,-599,-2106642746,1
216,128,-543,-2106642706,1
272,152,-607,-2106642666,1
264,112,-543,-2106642626,1
264,80,-455,-2106642586,1
280,72,-431,-2106642546,1
288,112,-543,-2106642506,1
288,152,-471,-2106642466,1
272,128,-415,-2106642426,1
272,104,-431,-2106642386,1
256,88,-447,-2106642346,1
200,120,-367,-2106642306,1
184,160,-455,-2106642266,1
168,128,-431,-2106642226,1
112,48,-527,-2106642186,1
-1247,112,-759,-2106642125,1
-1231,72,-647,-2106642085,1
-1215,120,-503,-2106642045,1
-1159,176,-399,-2106642005,1
-1127,176,-471,-2106641965,1
-1119,136,-423,-2106641925,1
-1095,136,-375,-2106641885,1
-1087,200,-431,-2106641845,1
-1111,160,-511,-2106641805,1
-1095,128,-551,-2106641765,1
-1111,160,-471,-2106641725,1
-1111,232,-439,-2106641685,1
-1079,224,-407,-2106641645,1
-1031,168,-415,-2106641605,1
-1015,168,-383,-2106641565,1
-991,168,-207,-2106641525,1
-1007,168,-31,-2106641485,1
-839,-71,296,-2106641445,1
-791,128,152,-2106641405,1
-935,48,-63,-2106641365,1
-959,112,-23,-2106641325,1
-991,152,-23,-2106641285,1
-999,112,-71,-2106641245,1
-991,176,-103,-2106641205,1
-991,136,-63,-2106641165,1
-1007,224,-15,-2106640592,1
-983,208,-23,-2106640552,1
-983,112,16,-2106640512,1
-1071,104,0,-2106640472,1
-1039,168,-79,-2106640432,1
-1031,208,0,-2106640392,1
-1031,224,56,-2106640352,1
-1023,240,-47,-2106640312,1
-1031,216,-71,-2106640272,1
-999,-111,-95,-2106640232,1
-967,104,-31,-2106640192,1
-1023,136,-39,-2106640152,1
-991,208,-71,-2106640112,1
-967,192,-39,-2106640072,1
-991,168,-55,-2106640032,1
-999,168,-71,-2106639992,1
-999,160,-39,-2106639952,1
-1007,144,-7,-2106639912,1
-1015,232,-7,-2106639872,1
-983,272,32,-2106639832,1
-975,248,24,-2106639792,1
-1007,248,-15,-2106639752,1
-959,288,-31,-2106639712,1
-975,256,-71,-2106639672,1
-1015,272,-55,-2106639632,1
-1039,152,-15,-2106641103,1
-1071,112,-47,-2106641063,1
-1047,152,-55,-2106641023,1
-1015,200,-87,-2106640983,1
-991,256,-31,-2106640943,1
-999,152,-63,-2106640903,1
-967,176,40,-2106640863,1
-1015,216,56,-2106640823,1
-1007,216,8,-2106640783,1
-999,200,-47,-2106640743,1
-983,208,-63,-2106640703,1
-1007,208,-47,-2106640663,1
-1023,200,-23,-2106640623,1
-1031,184,-47,-2106640583,1
-999,208,-23,-2106640543,1
-975,208,-7,-2106640503,1
-983,184,0,-2106640463,1
-983,184,40,-2106640423,1
-1007,184,-39,-2106640383,1
-999,208,-71,-2106640343,1
-999,200,-47,-2106640303,1
-1007,216,-55,-2106640263,1
-999,208,-23,-2106640223,1
-1007,216,-23,-2106640183,1
