-31,304,1000,-2106843564,1
48,280,1088,-2106843524,1
40,288,984,-2106843484,1
0,272,1032,-2106843444,1
-23,248,1048,-2106843404,1
-39,240,1008,-2106843364,1
-39,240,1032,-2106843324,1
-23,248,992,-2106843284,1
-7,256,1008,-2106843244,1
-23,240,1008,-2106843204,1
-39,240,1056,-2106843164,1
-15,240,1080,-2106843124,1
40,312,984,-2106843084,1
16,312,1000,-2106843044,1
-47,240,952,-2106843004,1
-23,280,944,-2106842964,1
-23,184,944,-2106842924,1
-39,104,1032,-2106842884,1
200,-167,1160,-2106842844,1
1088,-423,1248,-2106842804,1
320,1120,344,-2106843253,1
1712,1520,360,-2106843213,1
-687,-151,1768,-2106843173,1
1680,-399,1040,-2106843133,1
1744,1584,-87,-2106843093,1
-879,2192,456,-2106843053,1
-2375,512,1608,-2106843013,1
-855,-1351,1976,-2106842973,1
1600,-1119,1104,-2106842933,1
-847,-399,824,-2106842893,1
560,-335,1384,-2106842853,1
904,184,1008,-2106842813,1
424,-79,1064,-2106842773,1
376,-31,1064,-2106842733,1
120,272,960,-2106842693,1
152,360,984,-2106842653,1
96,368,984,-2106842613,1
16,384,936,-2106842573,1
16,368,952,-2106842533,1
16,384,960,-2106842493,1
-7,344,936,-2106842453,1
0,312,952,-2106842413,1
8,344,1008,-2106842373,1
8,360,960,-2106842333,1
16,368,952,-2106842293,1
48,392,936,-2106842742,1
8,376,1000,-2106842702,1
16,368,968,-2106842662,1
24,368,1008,-2106842622,1
24,376,1008,-2106842582,1
32,400,1056,-2106842542,1
40,440,1056,-2106842502,1
64,408,1072,-2106842462,1
64,408,1032,-2106842422,1
64,392,992,-2106842382,1
72,384,1016,-2106842342,1
72,384,1024,-2106842302,1
64,384,1024,-2106842262,1
56,408,1048,-2106842222,1
64,424,1064,-2106842182,1
56,432,1072,-2106842142,1
104,456,1072,-2106842102,1
120,464,1072,-2106842062,1
152,496,1112,-2106842022,1
168,504,1096,-2106841982,1
192,536,1120,-2106841942,1
208,560,1096,-2106841902,1
240,568,1112,-2106841862,1
248,552,1120,-2106841822,1
256,528,1120,-2106841782,1
272,520,1040,-2106842231,1
288,488,1032,-2106842191,1
312,464,992,-2106842151,1
328,400,872,-2106842111,1
352,432,840,-2106842071,1
368,424,840,-2106842031,1
400,392,688,-2106841991,1
432,352,712,-2106841951,1
464,328,712,-2106841911,1
496,336,624,-2106841871,1
528,280,552,-2106841831,1
568,280,424,-2106841791,1
600,240,336,-2106841751,1
640,192,304,-2106841711,1
664,208,232,-2106841671,1
696,224,224,-2106841631,1
712,232,184,-2106841591,1
744,208,184,-2106841551,1
776,224,232,-2106841511,1
800,256,232,-2106841471,1
832,240,200,-2106841431,1
848,192,152,-2106841391,1
880,176,192,-2106841351,1
896,176,192,-2106841311,1
904,232,192,-2106841271,1
24,552,1152,-2106840700,1
16,600,1112,-2106840660,1
-7,648,1192,-2106840620,1
80,544,1152,-2106840580,1
56,568,1120,-2106840540,1
64,568,1008,-2106840500,1
48,568,968,-2106840460,1
16,568,976,-2106840420,1
16,520,880,-2106840380,1
0,504,880,-2106840340,1
-23,480,904,-2106840300,1
-23,456,928,-2106840260,1
-31,472,920,-2106840220,1
-39,424,888,-2106840180,1
-31,408,912,-2106840140,1
-31,376,968,-2106840100,1
-39,392,968,-2106840060,1
